key_id,press_time,release_time
Key.ctrl_l,1788966719.9688191,1788966720.313931
",",1788966766.9487078,1788966767.0184593
Key.space,1788966767.0911753,1788966767.1982334
k,1788966767.8751652,1788966767.9600933
e,1788966767.9483037,1788966768.0630429
y,1788966768.2851384,1788966768.392228
Key.space,1788966768.4215088,1788966768.5700219
c,1788966768.5461497,1788966768.670105
o,1788966768.6118143,1788966768.6834424
l,1788966768.7747285,1788966768.8416028
l,1788966768.911275,1788966768.9798167
e,1788966768.9028897,1788966769.0100846
c,1788966769.1094816,1788966769.193383
Key.backspace,1788966769.3975515,1788966769.462642
Key.backspace,1788966769.5435297,1788966769.607075
Key.backspace,1788966769.697644,1788966769.7709005
l,1788966769.896162,1788966769.977002
e,1788966769.9794943,1788966770.0561228
c,1788966770.1679578,1788966770.2526438
t,1788966770.3664687,1788966770.4750993
o,1788966770.4967196,1788966770.5678818
r,1788966770.5758052,1788966770.716508
Key.space,1788966770.7041278,1788966770.8084795
s,1788966770.9680567,1788966771.0667937
t,1788966771.141243,1788966771.2409356
o,1788966771.1778266,1788966771.2761345
p,1788966771.3858125,1788966771.4980752
s,1788966771.9346013,1788966772.0118682
Key.space,1788966773.8416896,1788966773.9452336
a,1788966773.9212723,1788966774.0491316
b,1788966773.985189,1788966774.0814507
d,1788966774.1181371,1788966774.2462344
Key.space,1788966774.2859418,1788966774.3538063
Key.backspace,1788966774.4646044,1788966774.5195084
Key.backspace,1788966774.5972235,1788966774.6494339
Key.backspace,1788966774.7506435,1788966774.8095465
n,1788966774.9838283,1788966775.053505
d,1788966775.0570416,1788966775.1791918
Key.space,1788966775.1742134,1788966775.287733
t,1788966775.4147835,1788966775.4847069
r,1788966775.4029324,1788966775.4893146
Key.backspace,1788966776.2930224,1788966776.3776238
e,1788966776.8136065,1788966776.8769166
t,1788966777.0390158,1788966777.1479201
u,1788966777.2113454,1788966777.2874846
Key.backspace,1788966777.5035615,1788966777.5602834
Key.backspace,1788966777.6448088,1788966777.715748
Key.backspace,1788966777.8038943,1788966777.8846776
Key.backspace,1788966777.9727159,1788966778.0355892
c,1788966778.0769856,1788966778.182062
l,1788966778.1935945,1788966778.2738905
o,1788966778.3558297,1788966778.4338014
s,1788966778.47215,1788966778.5938637
e,1788966778.5456464,1788966778.663705
s,1788966778.7957015,1788966778.998801
Key.space,1788966779.0721054,1788966779.248641
t,1788966779.18174,1788966779.2989202
h,1788966779.2586381,1788966779.351501
e,1788966779.3997753,1788966779.5130196
Key.space,1788966779.462279,1788966779.6041892
c,1788966779.7387273,1788966779.8590407
s,1788966779.8459876,1788966779.9632616
v,1788966779.9271226,1788966780.0137837
Key.space,1788966780.0217974,1788966780.1566052
a,1788966780.1167476,1788966780.2589576
n,1788966780.1922812,1788966780.2814398
d,1788966780.295105,1788966780.4226012
Key.space,1788966780.379239,1788966780.5024793
t,1788966780.642105,1788966780.712903
r,1788966780.6469162,1788966780.715922
Key.backspace,1788966781.5351536,1788966781.6016443
Key.backspace,1788966781.7000952,1788966781.7863364
r,1788966781.7771602,1788966781.879213
e,1788966781.9450579,1788966782.0166967
t,1788966782.1087966,1788966782.2296736
u,1788966782.170469,1788966782.2598464
r,1788966782.3290658,1788966782.4518266
n,1788966782.4384756,1788966782.5317807
s,1788966782.6285667,1788966782.7354105
Key.space,1788966782.7364223,1788966782.8864365
f,1788966783.0317278,1788966783.1613107
a,1788966783.1496325,1788966783.250572
l,1788966783.211105,1788966783.2766144
s,1788966783.3490617,1788966783.449732
e,1788966783.4609895,1788966783.569984
Key.space,1788966783.5437567,1788966783.646826
t,1788966783.9324458,1788966784.0267503
h,1788966784.014011,1788966784.0927613
a,1788966784.101836,1788966784.2169218
t,1788966784.204676,1788966784.3129902
Key.space,1788966784.2876847,1788966784.4191866
s,1788966784.4130037,1788966784.5181727
i,1788966784.4945319,1788966784.5707583
g,1788966785.1881886,1788966785.2968402
n,1788966785.2937064,1788966785.360032
a,1788966785.495735,1788966785.5937943
l,1788966785.6498177,1788966785.7048278
s,1788966785.746993,1788966785.8529515
Key.space,1788966785.8468747,1788966785.9705343
t,1788966785.928888,1788966786.0273073
h,1788966786.0180395,1788966786.0921376
e,1788966786.1313045,1788966786.24379
Key.space,1788966786.2081823,1788966786.3208814
l,1788966789.542412,1788966789.6220312
i,1788966790.1091416,1788966790.1877942
s,1788966790.2160919,1788966790.296938
t,1788966790.3806746,1788966790.4756298
e,1788966790.8173587,1788966790.9411964
n,1788966790.9805813,1788966791.0717182
e,1788966791.0755873,1788966791.1614947
r,1788966791.2471867,1788966791.3340902
Key.space,1788966791.5314066,1788966791.683663
t,1788966791.657334,1788966791.777255
o,1788966791.7448926,1788966791.8260357
Key.space,1788966791.845711,1788966791.9793746
s,1788966791.9674065,1788966792.0686717
t,1788966792.1513083,1788966792.2658384
