key_id,press_time,release_time
c,1789058314.4110448,1789058314.5106068
u,1789058314.5382144,1789058314.6323857
s,1789058314.6457112,1789058314.7383037
Key.space,1789058314.797091,1789058314.9034448
s,1789058314.9044564,1789058314.976449
o,1789058315.1658194,1789058315.2731934
m,1789058315.3513825,1789058315.4482682
e,1789058315.4348137,1789058315.5862815
t,1789058315.5336525,1789058315.6230474
i,1789058315.6448088,1789058315.7436187
m,1789058315.7691293,1789058315.8639097
e,1789058315.8764892,1789058315.96837
s,1789058316.0525193,1789058316.1440485
Key.space,1789058316.4760804,1789058316.5584085
y,1789058316.6325746,1789058316.7383432
o,1789058316.7617466,1789058316.855806
u,1789058316.8990133,1789058316.9874444
Key.space,1789058317.1206708,1789058317.1633465
j,1789058317.274778,1789058317.3497086
u,1789058317.4393547,1789058317.5332816
s,1789058317.5692441,1789058317.700651
t,1789058317.654943,1789058317.73878
Key.space,1789058317.8401918,1789058317.9097683
f,1789058318.12247,1789058318.1957347
e,1789058318.2763767,1789058318.3561172
e,1789058318.43871,1789058318.529165
l,1789058318.4992979,1789058318.5893772
Key.space,1789058318.7327473,1789058318.802766
t,1789058318.8936965,1789058318.9735203
i,1789058318.9735203,1789058319.0965776
r,1789058319.1214678,1789058319.2431428
e,1789058319.2055495,1789058319.3205025
d,1789058319.4014685,1789058319.479711
",",1789058319.8485732,1789058319.910614
Key.space,1789058320.1531925,1789058320.2293046
y,1789058320.4673066,1789058320.5688365
o,1789058320.5698397,1789058320.6689272
u,1789058320.715427,1789058320.7897053
Key.space,1789058320.9592996,1789058321.0311575
f,1789058321.0553708,1789058321.1636577
e,1789058321.1396737,1789058321.2256792
e,1789058321.297239,1789058321.387092
l,1789058321.3603714,1789058321.452314
Key.space,1789058321.5779555,1789058321.6479394
w,1789058321.6540082,1789058321.7767625
e,1789058321.7416785,1789058321.8221638
e,1789058321.9146473,1789058321.9945765
Key.backspace,1789058322.719085,1789058322.8347394
a,1789058322.84951,1789058322.9373088
k,1789058322.9794173,1789058323.0694065
.,1789058323.3058174,1789058323.4525912
Key.space,1789058323.7117362,1789058323.8003607
Key.shift,1789058324.0243142,1789058324.4050944
n,1789058324.4895182,1789058324.5673962
d,1789058324.615107,1789058324.6932602
Key.space,1789058324.714882,1789058324.780998
w,1789058324.816778,1789058324.915758
h,1789058324.9456813,1789058325.0321321
e,1789058325.0841372,1789058325.185989
n,1789058325.188,1789058325.2393467
Key.space,1789058325.3602765,1789058325.4140155
y,1789058325.5500748,1789058325.568961
o,1789058325.9796343,1789058326.0790048
Key.space,1789058326.4652522,1789058326.5243893
Key.backspace,1789058326.7739215,1789058326.8585207
u,1789058327.092093,1789058327.1806574
Key.space,1789058327.3500235,1789058327.435319
f,1789058327.4576516,1789058327.5594518
e,1789058327.5204434,1789058327.607053
e,1789058327.6754532,1789058327.7735138
l,1789058327.7635798,1789058327.8437476
Key.space,1789058327.9872122,1789058328.0430112
w,1789058328.1932757,1789058328.323161
e,1789058328.2806916,1789058328.3860817
a,1789058328.393808,1789058328.4884353
k,1789058328.4884353,1789058328.5860443
Key.space,1789058328.7256033,1789058328.8000538
y,1789058328.9747527,1789058329.0793562
o,1789058329.1074922,1789058329.217471
u,1789058329.275062,1789058329.349706
Key.space,1789058329.4873986,1789058329.5435538
f,1789058329.5534866,1789058329.6477513
e,1789058329.615514,1789058329.6927943
e,1789058329.759442,1789058329.8620048
l,1789058329.851736,1789058329.9244332
Key.space,1789058330.0385509,1789058330.1000116
l,1789058330.2187858,1789058330.2962503
i,1789058330.4103696,1789058330.476172
k,1789058330.5518324,1789058330.6446736
e,1789058330.6491997,1789058330.7316108
Key.space,1789058330.7708106,1789058330.8373156
y,1789058330.886322,1789058331.0081015
o,1789058330.989467,1789058331.1016223
u,1789058331.1323059,1789058331.1994135
Key.space,1789058331.3601775,1789058331.4028041
w,1789058331.4475472,1789058331.582194
a,1789058331.536139,1789058331.6324968
n,1789058331.6385472,1789058331.7017772
n,1789058331.7768211,1789058331.852844
a,1789058331.8726375,1789058331.9564488
Key.space,1789058332.056452,1789058332.1275496
j,1789058332.4614651,1789058332.5435326
u,1789058332.622932,1789058332.7313457
s,1789058332.745623,1789058332.862258
t,1789058332.8610811,1789058332.9196393
Key.space,1789058333.0165427,1789058333.0997555
g,1789058333.4286716,1789058333.5061412
i,1789058333.511728,1789058333.6184423
v,1789058333.635965,1789058333.71232
e,1789058333.6809294,1789058333.7965784
Key.space,1789058333.804843,1789058333.8790526
y,1789058333.9153814,1789058334.0205271
p,1789058334.1674724,1789058334.269147
Key.backspace,1789058334.4684448,1789058334.5173774
Key.backspace,1789058334.5829015,1789058334.670776
u,1789058334.6931548,1789058334.7833557
p,1789058334.7848597,1789058334.876095
/,1789058335.2207918,1789058335.3280427
Key.backspace,1789058335.6737425,1789058335.7330213
.,1789058335.902846,1789058336.0296924
Key.space,1789058336.330607,1789058336.4188023
Key.shift,1789058336.4152844,1789058336.907986
u,1789058337.005755,1789058337.0963721
t,1789058337.1217296,1789058337.1919096
Key.space,1789058337.214466,1789058337.2746415
y,1789058337.3104491,1789058337.388583
o,1789058337.388583,1789058337.488189
u,1789058337.5522106,1789058337.6054096
Key.space,1789058337.75142,1789058337.8172426
g,1789058337.9350657,1789058338.0054626
o,1789058338.0153375,1789058338.095864
t,1789058338.1791615,1789058338.2450724
t,1789058338.327634,1789058338.3937085
a,1789058338.4535358,1789058338.5436988
Key.space,1789058338.5908234,1789058338.6761906
s,1789058338.9207623,1789058338.9967275
e,1789058339.0901885,1789058339.239143
a,1789058339.1919684,1789058339.2995596
r,1789058339.2543185,1789058339.3287103
c,1789058339.4519627,1789058339.512344
h,1789058339.5089056,1789058339.5848908
Key.space,1789058339.7236164,1789058339.7717514
w,1789058339.8293457,1789058339.9410396
i,1789058339.9255283,1789058340.01505
t,1789058340.01505,1789058340.099136
h,1789058340.0981266,1789058340.1411474
i,1789058340.2110949,1789058340.289004
n,1789058340.3488424,1789058340.3982854
g,1789058340.3972611,1789058340.444819
Key.backspace,1789058341.0021417,1789058341.08051
Key.space,1789058341.2602954,1789058341.3334026
y,1789058341.4027052,1789058341.4729254
o,1789058341.4739387,1789058341.5713456
u,1789058341.6490064,1789058341.725773
.,1789058341.957247,1789058342.0633416
Key.space,1789058342.3815227,1789058342.4558847
Key.shift,1789058342.4802177,1789058342.906059
o,1789058342.9543743,1789058343.0603976
u,1789058343.1119285,1789058343.1779547
Key.space,1789058343.3058536,1789058343.384136
g,1789058343.414836,1789058343.4952776
o,1789058343.5137565,1789058343.6109054
t,1789058343.6347318,1789058343.681768
t,1789058343.7574677,1789058343.8410275
a,1789058343.8674269,1789058343.9657786
Key.space,1789058343.9743807,1789058344.0489295
f,1789058344.2955482,1789058344.360569
i,1789058344.360569,1789058344.4626627
n,1789058344.490227,1789058344.5586076
d,1789058344.5746956,1789058344.651718
Key.space,1789058344.7017872,1789058344.7737856
t,1789058344.812058,1789058344.8738906
h,1789058344.9245567,1789058345.0029328
a,1789058344.970722,1789058345.1026452
t,1789058345.073921,1789058345.1486733
Key.space,1789058345.155767,1789058345.230166
i,1789058345.3033814,1789058345.4472597
n,1789058345.4190993,1789058345.521297
n,1789058345.5919144,1789058345.6667695
e,1789058345.6907954,1789058345.8248699
r,1789058345.7831922,1789058345.8407388
Key.space,1789058345.8933778,1789058345.9633017
s,1789058345.9987588,1789058346.0969
t,1789058346.083237,1789058346.1296723
r,1789058346.2563415,1789058346.3859084
e,1789058346.3869212,1789058346.5120456
n,1789058346.698544,1789058346.809353
g,1789058346.861748,1789058346.9363046
t,1789058347.032623,1789058347.1140342
h,1789058347.110461,1789058347.2032828
",",1789058347.916491,1789058348.0017147
a,1789058348.3867276,1789058348.5027654
n,1789058348.468645,1789058348.5559573
d,1789058348.5766046,1789058348.6561399
Key.space,1789058348.6840496,1789058348.7264585
p,1789058348.8439028,1789058348.9564104
u,1789058349.0494967,1789058349.1154537
l,1789058349.251423,1789058349.3053486
l,1789058349.3628345,1789058349.4174473
Key.space,1789058349.5607278,1789058349.6250532
t,1789058349.6718712,1789058349.7648067
h,1789058349.7875457,1789058349.8544798
a,1789058349.8534403,1789058349.9787822
t,1789058349.9423912,1789058350.0123246
Key.space,1789058350.0138302,1789058350.0764961
s,1789058350.1182199,1789058350.212313
h,1789058350.212313,1789058350.2786171
i,1789058350.330216,1789058350.4361234
t,1789058350.5546315,1789058350.663359
Key.space,1789058350.7303386,1789058350.8147712
a,1789058350.8570623,1789058350.9197013
Key.backspace,1789058351.1913474,1789058351.2615094
o,1789058351.3754954,1789058351.4655654
u,1789058351.6064181,1789058351.6795309
t,1789058351.732773,1789058351.7964356
t,1789058351.8663943,1789058351.9641213
a,1789058351.9742398,1789058352.085831
Key.space,1789058352.1016498,1789058352.178419
y,1789058352.415512,1789058352.5164893
o,1789058352.5179932,1789058352.6573043
u,1789058352.6934557,1789058352.7755475
.,1789058352.9529002,1789058353.0332825
Key.space,1789058353.2161214,1789058353.2820404
a,1789058353.3136833,1789058353.4118052
n,1789058353.4128108,1789058353.473853
d,1789058353.5159652,1789058353.5762231
Key.space,1789058353.6023533,1789058353.678668
g,1789058353.7128136,1789058353.8122194
e,1789058353.811182,1789058353.9501026
t,1789058353.9144232,1789058353.9857504
Key.space,1789058353.9720597,1789058354.042832
t,1789058354.0868108,1789058354.1577506
h,1789058354.1830683,1789058354.2595158
a,1789058354.2348895,1789058354.3679013
t,1789058354.3571804,1789058354.4372873
Key.space,1789058354.442897,1789058354.5235097
o,1789058354.811279,1789058354.8894434
Key.backspace,1789058355.354389,1789058355.428007
m,1789058355.6126883,1789058355.714022
o,1789058355.8003438,1789058355.903769
t,1789058355.9236312,1789058355.9793048
i,1789058356.043713,1789058356.118442
v,1789058356.2533426,1789058356.3374574
a,1789058356.3747566,1789058356.5062838
t,1789058356.4937453,1789058356.56336
i,1789058356.7116818,1789058356.7607174
o,1789058356.8624814,1789058356.9421434
n,1789058356.9719472,1789058357.0518925
",",1789058357.4807153,1789058357.5794477
Key.space,1789058357.81358,1789058357.9016943
t,1789058358.0533812,1789058358.1328979
o,1789058358.17899,1789058358.2489657
Key.space,1789058358.3559368,1789058358.41562
n,1789058358.50651,1789058358.5898316
o,1789058358.623851,1789058358.7584023
t,1789058358.6839092,1789058358.758906
Key.space,1789058358.8541417,1789058358.924457
g,1789058358.958261,1789058359.0247903
i,1789058359.0424411,1789058359.1360419
v,1789058359.1406922,1789058359.2153306
e,1789058359.1886754,1789058359.3234227
Key.space,1789058359.3350775,1789058359.3975594
u,1789058359.5217223,1789058359.5814404
p,1789058359.6933293,1789058359.7857282
",",1789058359.9391305,1789058360.0573652
Key.space,1789058360.2940133,1789058360.3741417
a,1789058360.4444027,1789058360.5425217
n,1789058360.5425217,1789058360.630305
d,1789058360.6718469,1789058360.7347593
Key.space,1789058360.793951,1789058360.8304539
n,1789058361.1973581,1789058361.266648
o,1789058361.3369234,1789058361.4455528
t,1789058361.4673648,1789058361.5376027
Key.space,1789058361.57298,1789058361.6146579
b,1789058361.7515337,1789058361.8273368
e,1789058361.8751693,1789058361.959545
Key.space,1789058361.9978065,1789058362.0603948
q,1789058362.118432,1789058362.1861234
Key.space,1789058362.2179763,1789058362.2944353
Key.backspace,1789058362.691927,1789058362.7521207
Key.backspace,1789058362.8098316,1789058362.8931127
